카드명,법인,shop,Benefit,limit_once,limit_month,min_pay,min_per,monthly,bin,카드 이미지
삼성카드 taptap O,삼성카드,스타벅스,50,10000,10000,0,300000,1,536148,https://d1c5n4ri2guedi.cloudfront.net/card/51/card_img/37691/51card.png
KB국민 My WE:SH 카드,KB국민카드,스타벅스,5,5000,5000,0,400000,99,"3703 0202, 5570 42",https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
KB국민 My WE:SH 카드,KB국민카드,투썸플레이스,5,5000,5000,0,400000,99,"3703 0202, 5570 42",https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
KB국민 My WE:SH 카드,KB국민카드,카페베네,5,5000,5000,0,400000,99,"3703 0202, 5570 42",https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
KB국민 My WE:SH 카드,KB국민카드,탐앤탐스,5,5000,5000,0,400000,99,"3703 0202, 5570 42",https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
KB국민 My WE:SH 카드,KB국민카드,커피빈,5,5000,5000,0,400000,99,"3703 0202, 5570 42",https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
KB국민 My WE:SH 카드,KB국민카드,엔제리너스,5,5000,5000,0,400000,99,"3703 0202, 5570 42",https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
KB국민 My WE:SH 카드,KB국민카드,할리스,5,5000,5000,0,400000,99,"3703 0202, 5570 42",https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
KB국민 My WE:SH 카드,KB국민카드,파스쿠찌,5,5000,5000,0,400000,99,"3703 0202, 5570 42",https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
KB국민 My WE:SH 카드,KB국민카드,아티제,5,5000,5000,0,400000,99,"3703 0202, 5570 42",https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
KB국민 My WE:SH 카드,KB국민카드,폴 바셋,5,5000,5000,0,400000,99,"3703 0202, 5570 42",https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
KB국민 My WE:SH 카드,KB국민카드,블루보틀,5,5000,5000,0,400000,99,"3703 0202, 5570 42",https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
KB국민 My WE:SH 카드,KB국민카드,이디야,5,5000,5000,0,400000,99,"3703 0202, 5570 42",https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
KB국민 My WE:SH 카드,KB국민카드,빽다방,5,5000,5000,0,400000,99,"3703 0202, 5570 42",https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
신한카드 처음(ANNIVERSE),신한카드,스타벅스,5,5000,5000,0,300000,99,,https://d1c5n4ri2guedi.cloudfront.net/card/2759/card_img/37240/2759card.png
신한카드 처음(ANNIVERSE),신한카드,투썸플레이스,5,5000,5000,0,300000,99,,https://d1c5n4ri2guedi.cloudfront.net/card/2759/card_img/37240/2759card.png
신한카드 처음(ANNIVERSE),신한카드,카페베네,5,5000,5000,0,300000,99,,https://d1c5n4ri2guedi.cloudfront.net/card/2759/card_img/37240/2759card.png
신한카드 처음(ANNIVERSE),신한카드,탐앤탐스,5,5000,5000,0,300000,99,,https://d1c5n4ri2guedi.cloudfront.net/card/2759/card_img/37240/2759card.png
신한카드 처음(ANNIVERSE),신한카드,커피빈,5,5000,5000,0,300000,99,,https://d1c5n4ri2guedi.cloudfront.net/card/2759/card_img/37240/2759card.png
